"time","CR","HM","HT"
"05/02/2025 20:50:24","878","24.1","32.9"
"05/02/2025 20:55:24","883","24","32.9"
"05/02/2025 21:00:23","883","24","32.8"
"05/02/2025 21:05:23","878","23.9","32.9"
"05/02/2025 21:10:23","887","23.9","32.9"
"05/02/2025 21:15:23","891","23.9","32.9"
"05/02/2025 21:20:23","898","23.9","32.9"
"05/02/2025 21:25:22","886","23.9","32.8"
"05/02/2025 21:30:23","891","23.8","32.8"
"05/02/2025 21:35:23","908","23.8","32.8"
"05/02/2025 21:40:23","900","23.9","32.7"
"05/02/2025 21:45:22","891","24.1","32.6"
"05/02/2025 21:50:22","887","23.9","32.8"
"05/02/2025 21:55:21","896","23.8","32.8"
"05/02/2025 22:00:21","897","23.8","32.8"
"05/02/2025 22:05:21","887","23.8","32.8"
"05/02/2025 22:10:22","888","23.7","32.8"
"05/02/2025 22:15:22","895","23.8","32.7"
"05/02/2025 22:20:23","890","23.7","32.8"
"05/02/2025 22:25:22","884","23.7","32.8"
"05/02/2025 22:30:22","884","23.9","32.7"
"05/02/2025 22:35:22","884","24","32.6"
"05/02/2025 22:40:22","888","23.9","32.5"
"05/02/2025 22:45:21","885","24","32.5"
"05/02/2025 22:50:21","894","23.9","32.6"
"05/02/2025 22:55:21","897","23.8","32.7"
"05/02/2025 23:00:20","896","23.7","32.8"
"05/02/2025 23:05:20","892","23.6","32.8"
"05/02/2025 23:10:20","901","23.6","32.8"
"05/02/2025 23:15:20","892","23.6","32.8"
"05/02/2025 23:20:20","907","23.6","32.8"
"05/02/2025 23:25:21","893","23.5","32.8"
"05/02/2025 23:30:21","900","23.5","32.7"
"05/02/2025 23:35:21","888","23.6","32.7"
"05/02/2025 23:40:22","892","23.5","32.8"
"05/02/2025 23:45:22","897","23.5","32.8"
"05/02/2025 23:50:22","904","23.5","32.8"
"05/02/2025 23:55:22","896","23.6","32.7"
"06/02/2025 00:00:22","892","23.4","32.8"
"06/02/2025 00:05:21","904","23.4","32.7"
"06/02/2025 00:10:21","905","23.4","32.8"
"06/02/2025 00:15:22","902","23.4","32.7"
"06/02/2025 00:20:22","900","23.4","32.8"
"06/02/2025 00:25:21","910","23.4","32.7"
"06/02/2025 00:30:22","899","23.3","32.8"
"06/02/2025 00:35:22","900","23.3","32.7"
"06/02/2025 00:40:22","907","23.3","32.8"
"06/02/2025 00:45:22","913","23.3","32.8"
"06/02/2025 00:50:21","897","23.3","32.7"
"06/02/2025 00:55:21","899","23.3","32.7"
"06/02/2025 01:00:21","914","23.3","32.7"
"06/02/2025 01:05:21","901","23.3","32.6"
"06/02/2025 01:10:21","907","23.4","32.5"
"06/02/2025 01:15:20","903","23.4","32.5"
"06/02/2025 01:20:21","898","23.4","32.5"
"06/02/2025 01:25:21","900","23.4","32.5"
"06/02/2025 01:30:21","900","23.4","32.5"
"06/02/2025 01:35:21","911","23.4","32.4"
"06/02/2025 01:40:21","912","23.4","32.4"
"06/02/2025 01:45:21","904","23.4","32.3"
"06/02/2025 01:50:19","904","23.4","32.4"
"06/02/2025 01:55:20","898","23.4","32.3"
"06/02/2025 02:00:20","899","23.4","32.4"
"06/02/2025 02:05:21","905","23.4","32.3"
"06/02/2025 02:10:20","904","23.4","32.4"
"06/02/2025 02:15:20","906","23.3","32.3"
"06/02/2025 02:20:20","903","23.3","32.3"
"06/02/2025 02:25:19","909","23.3","32.3"
"06/02/2025 02:30:20","904","23.3","32.3"
"06/02/2025 02:35:19","908","23.3","32.3"
"06/02/2025 02:40:19","906","23.3","32.3"
"06/02/2025 02:45:19","905","23.2","32.4"
"06/02/2025 02:50:20","895","23.2","32.3"
"06/02/2025 02:55:18","905","23.2","32.3"
"06/02/2025 03:00:19","909","23.3","32.3"
"06/02/2025 03:05:18","914","23.3","32.3"
"06/02/2025 03:10:19","906","23.2","32.3"
"06/02/2025 03:15:19","900","23.2","32.3"
"06/02/2025 03:20:19","906","23.2","32.3"
"06/02/2025 03:25:18","910","23.3","32.2"
"06/02/2025 03:30:19","907","23.2","32.3"
"06/02/2025 03:35:20","900","23.3","32.1"
"06/02/2025 03:40:21","899","23.3","32.2"
"06/02/2025 03:45:20","901","23.2","32.2"
"06/02/2025 03:50:21","902","23.3","32.1"
"06/02/2025 03:55:21","902","23.3","32.1"
"06/02/2025 04:00:20","901","23.3","32.1"
"06/02/2025 04:05:20","909","23.3","32.1"
"06/02/2025 04:10:19","906","23.2","32.2"
"06/02/2025 04:15:19","908","23.2","32.1"
"06/02/2025 04:20:19","897","23.2","32.1"
"06/02/2025 04:25:19","903","23.2","32.1"
"06/02/2025 04:30:19","912","23.2","32.1"
"06/02/2025 04:35:19","912","23.2","32"
"06/02/2025 04:40:19","905","23.3","32"
"06/02/2025 04:45:18","916","23.3","32"
"06/02/2025 04:50:18","910","23.1","32.1"
"06/02/2025 04:55:18","915","23.1","32.1"
"06/02/2025 05:00:18","911","23.1","32"
"06/02/2025 05:05:18","911","23.2","32"
"06/02/2025 05:10:18","903","23.2","32"
"06/02/2025 05:15:18","911","23.2","31.9"
"06/02/2025 05:20:18","906","23.3","31.9"
"06/02/2025 05:25:19","903","23.3","31.9"
"06/02/2025 05:30:19","908","23.3","31.9"
"06/02/2025 05:35:19","897","23.2","31.9"
"06/02/2025 05:40:19","894","23.2","31.9"
"06/02/2025 05:45:17","910","23.2","31.8"
